model_family,quant,run_count,aggregate,run_view,scoring_profile,official_comparable_runs,legacy_migrated_runs,rescored_runs,score_percent,score_mean,score_median,score_stddev,score_iqr,score_ci95,score_min,score_max,precision_percent,recall_percent,f1_percent,critical_recall_percent,high_recall_percent,medium_recall_percent,low_recall_percent,high_critical_recall_percent,memory_safety_percent,concurrency_percent,injection_percent,auth_crypto_percent,numeric_dos_percent,file_io_percent,cwe_coverage_percent,stability_percent,evidence_fidelity_percent,location_accuracy_percent,hallucination_rate_percent,evaluation_confidence_percent,fp_taxonomy,full_tp,partial_tp,false_positives,duplicates,ignored_low_confidence,missed,parse_success_percent,loop_rate_percent,empty_output_rate_percent,visible_reasoning_rate_percent,run1_score,run2_score,run2_delta,run2_fp_reduction,run2_tp_retention_percent,run2_dropped_tp,run2_added_tp,truth_audit_runs,accountability_score,truth_audit_accuracy_percent,overclaim_rate_percent,miss_admission_rate_percent,fp_admission_rate_percent,evidence_laundering_count,quote_fidelity_percent,duration_mean_sec,duration_median_sec,duration_min_sec,duration_max_sec,visible_reasoning_runs,thinking_parsed_findings,output_parsed_findings,thinking_tp,output_tp,thinking_only_tp,output_only_tp,thinking_to_output_coverage_percent,SC-V3-001,SC-V3-002,SC-V3-003,SC-V3-004,SC-V3-005,SC-V3-006,SC-V3-007,SC-V3-008,SC-V3-009,SC-V3-010,SC-V3-011,SC-V3-012,SC-V3-013,SC-V3-014,SC-V3-015,SC-V3-016,SC-V3-017,SC-V3-018,SC-V3-019,SC-V3-020
ornith-1-0-35b,q6_k,2,Average,Primary,all,2,0,0,43.5,43.5,43.5,0,0,,43.5,43.5,95.5,52.5,67.7,60,66.7,35.7,50,63.3,66.7,37.5,100,83.3,20,50,57.9,100,89.2,99.1,0,78.6,,10,1,0,3,0,9,100,0,0,100,43.5,43.5,0,0,100,0,0,2,0,45,0,100,100,11,0,61.5,61.5,57.7,65.2,2,1,14,0,11,0,11,,1,0,1,1,1,1,1,1,0,1,1,0.5,0,0,0,0,0,0,0,1
mistral-medium-3-5-128b,ud_q3_k_xl,1,Average,Primary,all,1,0,0,37.5,37.5,37.5,0,0,,37.5,37.5,71.9,57.5,63.9,80,83.3,21.4,50,81.7,100,12.5,100,66.7,60,50,68.4,100,89.2,100,21.1,79,hallucinated_api=3; duplicate_variant=1,11,1,4,3,0,8,100,0,0,0,34,37.5,3.5,1,100,0,0,1,0,40,0,100,100,11,8.3,4219.5,4219.5,4219.5,4219.5,0,0,0,0,0,0,0,,1,1,1,1,1,0,0,0,1,1,1,0.5,1,0,1,0,1,0,0,0
qwable-27b,q4_k_m,1,Average,Primary,all,1,0,0,33,33,33,0,0,,33,33,100,40,57.1,80,33.3,28.6,0,56.7,100,25,100,16.7,0,50,47.4,100,82.4,100,0,90,,8,0,0,2,0,12,100,0,0,100,33,33,0,0,100,0,0,1,0,55,8.3,91.7,100,9,0,304.4,304.4,304.4,304.4,1,10,10,8,8,0,0,100,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
qwen3-5-122b-a10b,ud_q3_k_xl,1,Average,Primary,all,1,0,0,31.5,31.5,31.5,0,0,,31.5,31.5,93.8,37.5,53.6,50,50,28.6,0,50,50,25,100,33.3,0,50,47.4,100,77,97.1,0,77.8,,7,1,0,1,0,12,100,0,0,100,29,31.5,2.5,0,100,0,0,1,35,80,0,100,100,3,62.5,605.9,605.9,605.9,605.9,1,22,9,8,8,0,0,100,1,0,0,1,1,1,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0
ornith-1-0-9b,bf16,1,Average,Primary,all,1,0,0,29,29,29,0,0,,29,29,77.8,35,48.3,40,33.3,28.6,50,36.7,0,25,75,66.7,30,50,42.1,100,57.8,96.6,10,80,hallucinated_api=1,6,2,1,1,0,12,100,0,0,100,29,0,-29,1,0,8,0,1,52.38,60,0,100,0,0,100,140.3,140.3,140.3,140.3,1,0,10,0,8,0,8,,1,0,0,0.5,0,0,0,1,0,1,1,0,0,0,0,0.5,0,0,1,1
qwen3-6-27b-neo-code-here-2t-ot-high,q8_0,1,Average,Primary,all,1,0,0,24.5,24.5,24.5,0,0,,24.5,24.5,91.7,27.5,42.3,30,33.3,14.3,50,31.7,33.3,25,75,16.7,20,0,36.8,100,82,95.4,0,85.7,,5,1,0,1,0,14,100,0,0,100,24.5,24.5,0,0,100,0,0,1,75,90,0,100,100,1,80,931.4,931.4,931.4,931.4,1,14,7,6,6,0,0,100,1,0,0,0.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
devstral-2-123b-instruct-2512,ud_q3_k_xl,1,Average,Primary,all,1,0,0,21,21,21,0,0,,21,21,85.7,30,44.4,40,66.7,0,0,53.3,33.3,0,100,33.3,20,0,36.8,100,81.9,100,10,80,hallucinated_api=1,6,0,1,3,0,14,100,0,0,0,22,21,-1,0,100,0,0,1,80.95,90,7.1,92.9,100,0,100,3575.2,3575.2,3575.2,3575.2,0,0,0,0,0,0,0,,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
openyourmind-qwen3-6-35b-a3b-kuato-dpo-abliterated-uncensored,i1_q6_k,1,Average,Primary,all,1,0,0,18.5,18.5,18.5,0,0,,18.5,18.5,90,22.5,36,50,16.7,14.3,0,33.3,66.7,25,75,0,0,0,31.6,100,78.3,94.5,0,100,,4,1,0,0,0,15,100,0,0,100,18.5,18.5,0,0,100,0,0,1,90,90,0,100,100,0,100,67.1,67.1,67.1,67.1,1,5,5,5,5,0,0,100,1,0,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gemma-4-12b-it,bf16,1,Average,Primary,all,1,0,0,14.5,14.5,14.5,0,0,,14.5,14.5,87.5,17.5,29.2,30,33.3,0,0,31.7,50,0,50,0,20,0,26.3,100,46.7,100,0,80,,3,1,0,1,0,16,100,0,0,100,14.5,14.5,0,0,100,0,0,1,95,95,0,100,100,0,100,240.4,240.4,240.4,240.4,1,10,5,2,4,1,3,50,0,1,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
granite-4-1-8b,ud_q8_k_xl,2,Average,Primary,all,2,0,0,3.75,3.75,3.75,3.18,2.25,,1.5,6,40,8.8,14.3,0,20.8,3.6,12.5,10.4,33.3,6.3,0,4.2,5,0,26.3,92.5,75,51.7,40,50,duplicate_variant=1.5; overgeneralized=0.5,1,2,2,1,0,18,100,0,0,0,3.75,3.75,0,0,100,0,0,2,57.66,85,2.8,97.2,0,0.5,50,31.5,31.5,30.5,32.4,0,0,0,0,0,0,0,,0,0,0,0,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25
